asset_id,subject_id,condition,channel,min_intensity,max_intensity,mean_intensity,median_intensity,std_intensity,p25,p75,p90,p99
793a1981-206d-4495-afe9-37377e87acca,P1_20240703_A1,A1,DAPI,1115,52945,2960.958112,2818.0,1178.0392804645335,2108.0,3614.0,4375.100000000006,6156.0
95141d7a-82aa-4552-940a-1438a430a0d7,P1_20240627_A2,A2,DAPI,1600,65535,4267.150156,3668.0,2879.276649038292,2599.0,5186.25,6853.100000000006,11180.0
5a8061d9-3757-4a86-8542-2ae90133fdcd,P1_20240627_A3,A3,FITC,581,34249,3739.515256,3192.0,2505.259102457718,1813.0,5050.0,7210.0,11208.0
e671bd0e-531d-4219-b38b-480d6179a7fc,P1_20240627_B1,B1,DAPI,1671,65535,5218.149556,4569.0,3140.001691288239,3106.0,6402.0,8750.0,14535.01000000001
ce845c9b-eba3-43d2-aa82-5242b6a19515,P1_20240627_B2,B2,DAPI,1502,65535,5835.820936,4978.0,3801.2791745327095,2765.0,7780.25,10893.0,16669.0
b8ecbb72-d3a0-41b9-a81e-19719981c8ed,P1_20240627_B3,B3,DAPI,1912,65535,7321.32884,6626.0,4458.323454430853,3935.0,9693.0,12518.0,18174.0
