path,asset_id,subject_id,obj_id,size_mb,condition
sub-P1-20240627-A2/sub-P1-20240627-A2_obj-fniblx_image.nwb,d22476ad-fa18-4aa0-84bf-13fd0113a52c,sub-P1-20240627-A2,fniblx,356.11441230773926,A2
sub-P1-20240627-A3/sub-P1-20240627-A3_obj-1h4rh2m_image.nwb,5a8061d9-3757-4a86-8542-2ae90133fdcd,sub-P1-20240627-A3,1h4rh2m,396.05154037475586,A3
sub-P1-20240627-A2/sub-P1-20240627-A2_obj-1aoyzxh_image.nwb,95141d7a-82aa-4552-940a-1438a430a0d7,sub-P1-20240627-A2,1aoyzxh,449.24231910705566,A2
sub-P1-20240627-A3/sub-P1-20240627-A3_obj-k9o87l_image.nwb,90ab1ffc-03ff-4193-8e47-9bbfbfd56bb5,sub-P1-20240627-A3,k9o87l,451.9374485015869,A3
sub-P1-20240627-B1/sub-P1-20240627-B1_obj-1qpzwid_image.nwb,e671bd0e-531d-4219-b38b-480d6179a7fc,sub-P1-20240627-B1,1qpzwid,451.89179706573486,B1
sub-P1-20240627-B1/sub-P1-20240627-B1_obj-4puzhd_image.nwb,51916ccb-a1a1-4f64-b504-e6fbcb78d4dc,sub-P1-20240627-B1,4puzhd,355.5671625137329,B1
sub-P1-20240627-B2/sub-P1-20240627-B2_obj-1nit1bi_image.nwb,ce845c9b-eba3-43d2-aa82-5242b6a19515,sub-P1-20240627-B2,1nit1bi,461.32292652130127,B2
sub-P1-20240627-B2/sub-P1-20240627-B2_obj-31iy1r_image.nwb,0cdd7366-3d77-499a-a72d-f434d985b216,sub-P1-20240627-B2,31iy1r,403.79315280914307,B2
sub-P1-20240627-B3/sub-P1-20240627-B3_obj-1p8hcsr_image.nwb,e3b5448e-9e6f-45c2-9983-509346811fe0,sub-P1-20240627-B3,1p8hcsr,380.5303621292114,B3
sub-P1-20240627-B3/sub-P1-20240627-B3_obj-1j97opj_image.nwb,b8ecbb72-d3a0-41b9-a81e-19719981c8ed,sub-P1-20240627-B3,1j97opj,461.4574956893921,B3
sub-P1-20240702-A1/sub-P1-20240702-A1_image.nwb,d64469f5-8314-489e-bdd9-201b9cc73649,sub-P1-20240702-A1,,339.3945598602295,A1
sub-P1-20240702-A2/sub-P1-20240702-A2_obj-15cihl_image.nwb,9d942648-8c97-411a-a36f-d087475cb7da,sub-P1-20240702-A2,15cihl,351.33250427246094,A2
sub-P1-20240702-A2/sub-P1-20240702-A2_obj-jf0h62_image.nwb,27d17b2c-85c7-49f7-b3d3-44374319a029,sub-P1-20240702-A2,jf0h62,444.44101428985596,A2
sub-P1-20240702-A3/sub-P1-20240702-A3_obj-54imh9_image.nwb,2f89aa53-3dca-425c-8d32-7573891b0817,sub-P1-20240702-A3,54imh9,356.6626949310303,A3
sub-P1-20240702-A3/sub-P1-20240702-A3_obj-1cjyr4h_image.nwb,b2fd738b-a103-4bd2-8ee7-8a6eb63adc63,sub-P1-20240702-A3,1cjyr4h,445.1531934738159,A3
sub-P1-20240702-B1/sub-P1-20240702-B1_obj-1jruk0v_image.nwb,eb42dd29-8c82-4550-b08d-9f7139192832,sub-P1-20240702-B1,1jruk0v,447.7223253250122,B1
sub-P1-20240702-B1/sub-P1-20240702-B1_obj-1x8s0cn_image.nwb,2a3207a3-55e2-4e39-bdda-228da56b9da3,sub-P1-20240702-B1,1x8s0cn,351.0970058441162,B1
sub-P1-20240702-B3/sub-P1-20240702-B3_obj-1rnsmhu_image.nwb,84f9d98e-3748-428c-bac7-1e9b2f3d04c2,sub-P1-20240702-B3,1rnsmhu,362.3568801879883,B3
sub-P1-20240702-B3/sub-P1-20240702-B3_obj-1vh4bm0_image.nwb,c3bc2361-fc62-453b-b093-aff44e81d219,sub-P1-20240702-B3,1vh4bm0,450.897855758667,B3
sub-P1-20240703-A1/sub-P1-20240703-A1_obj-1p7fajh_image.nwb,793a1981-206d-4495-afe9-37377e87acca,sub-P1-20240703-A1,1p7fajh,448.6469259262085,A1
sub-P1-20240703-A1/sub-P1-20240703-A1_obj-ue0goa_image.nwb,382b21a2-c88c-406b-a8e1-2a822add1df4,sub-P1-20240703-A1,ue0goa,385.2556400299072,A1
sub-P1-20240703-A2/sub-P1-20240703-A2_obj-1843hmm_image.nwb,9fbb54b3-d6eb-4854-8b33-f7c1d23fca71,sub-P1-20240703-A2,1843hmm,449.1468105316162,A2
sub-P1-20240703-A2/sub-P1-20240703-A2_obj-f3x1wk_image.nwb,227ae9fa-67aa-46d9-adce-b45349a40074,sub-P1-20240703-A2,f3x1wk,349.0492935180664,A2
sub-P1-20240703-A3/sub-P1-20240703-A3_obj-7sf57u_image.nwb,82d899e7-f4e7-4057-ac13-f3429a17bca4,sub-P1-20240703-A3,7sf57u,364.3508834838867,A3
sub-P1-20240703-A3/sub-P1-20240703-A3_obj-9uod2r_image.nwb,2cbbd4bf-3255-4e46-b91b-14ce42dacea4,sub-P1-20240703-A3,9uod2r,442.18178939819336,A3
sub-P1-20240703-B1/sub-P1-20240703-B1_obj-9zhflm_image.nwb,60a47c69-aef7-439f-ab48-9d58c42e201c,sub-P1-20240703-B1,9zhflm,451.64752292633057,B1
sub-P1-20240703-B1/sub-P1-20240703-B1_obj-u2w91q_image.nwb,ea4f741b-eaa6-4d97-98ba-a6c39877c5f1,sub-P1-20240703-B1,u2w91q,349.8105249404907,B1
sub-P1-20240703-B2/sub-P1-20240703-B2_obj-1d7vzdr_image.nwb,1f7f0818-c3e6-413e-bdc5-bd84f16dc00a,sub-P1-20240703-B2,1d7vzdr,364.95290088653564,B2
sub-P1-20240703-B2/sub-P1-20240703-B2_obj-shjxch_image.nwb,5f6353a4-a6de-4a06-b22a-e9b628dc5ba9,sub-P1-20240703-B2,shjxch,456.65716648101807,B2
sub-P1-20240703-B3/sub-P1-20240703-B3_obj-1b6f7l3_image.nwb,8c05167d-66ea-4753-9516-6d5a5dddfe75,sub-P1-20240703-B3,1b6f7l3,380.1886501312256,B3
sub-P1-20240813-A1/sub-P1-20240813-A1_obj-f3q721_image.nwb,b9331bc2-aeb8-4b2b-bb26-37a4a66bcc5f,sub-P1-20240813-A1,f3q721,412.97493171691895,A1
sub-P1-20240813-A1/sub-P1-20240813-A1_obj-kzl47x_image.nwb,ed79c6a8-0bf9-4655-a8d8-a05836050624,sub-P1-20240813-A1,kzl47x,401.2292013168335,A1
sub-P1-20240703-B3/sub-P1-20240703-B3_obj-10yjgby_image.nwb,6a77f19a-3ac7-448c-9286-af56d4a4a291,sub-P1-20240703-B3,10yjgby,454.82223320007324,B3
sub-P1-20240813-A2/sub-P1-20240813-A2_obj-14d0rni_image.nwb,193367ca-025a-4997-9602-0f5c30731128,sub-P1-20240813-A2,14d0rni,415.16322135925293,A2
sub-P1-20240813-A2/sub-P1-20240813-A2_obj-v5anci_image.nwb,e9517e01-e267-41a9-96b2-40face0edea8,sub-P1-20240813-A2,v5anci,369.54515075683594,A2
sub-P1-20240813-A3/sub-P1-20240813-A3_obj-f0m2f7_image.nwb,c0936d84-f337-47cc-8553-ce104b4b941f,sub-P1-20240813-A3,f0m2f7,322.41011810302734,A3
sub-P1-20240813-A3/sub-P1-20240813-A3_obj-1d3h6ur_image.nwb,6bd1cbda-64d2-4958-865f-8330b6114de0,sub-P1-20240813-A3,1d3h6ur,413.1670503616333,A3
sub-P1-20240813-B1/sub-P1-20240813-B1_obj-6kw6h2_image.nwb,79f5bf42-1f07-4445-abac-41af7bce1a5d,sub-P1-20240813-B1,6kw6h2,382.039026260376,B1
sub-P1-20240813-B1/sub-P1-20240813-B1_obj-1rb7dpa_image.nwb,f6a7e783-2f1b-403a-b67a-88bb736302b5,sub-P1-20240813-B1,1rb7dpa,419.26909923553467,B1
sub-P1-20240813-B2/sub-P1-20240813-B2_obj-10julcy_image.nwb,63e66773-c196-4f9d-a8ad-5e4642be3c17,sub-P1-20240813-B2,10julcy,420.3911828994751,B2
sub-P1-20240813-B3/sub-P1-20240813-B3_obj-dae57j_image.nwb,79d7eb19-b6b8-4533-9a17-425dafb2114c,sub-P1-20240813-B3,dae57j,355.0380172729492,B3
sub-P1-20240813-B2/sub-P1-20240813-B2_obj-1ej1j97_image.nwb,3e32fbf6-cfe6-4722-a9ee-17098ef84412,sub-P1-20240813-B2,1ej1j97,313.9823703765869,B2
sub-P1-20240813-B3/sub-P1-20240813-B3_obj-1bd7g44_image.nwb,a46f31cb-9f66-4c00-86f1-1a306f0ebf3f,sub-P1-20240813-B3,1bd7g44,420.02195739746094,B3
sub-P1-20240821-A1/sub-P1-20240821-A1_obj-1ncbvx5_image.nwb,15624a80-987d-40f4-a345-9f055b935cf5,sub-P1-20240821-A1,1ncbvx5,643.8697633743286,A1
sub-P1-20240821-A2/sub-P1-20240821-A2_obj-fkppt9_image.nwb,68b563af-ffc1-46bd-b452-8d32324bfbd8,sub-P1-20240821-A2,fkppt9,11.927557945251465,A2
sub-P1-20240821-A1/sub-P1-20240821-A1_obj-tpqva3_image.nwb,7380bc87-c8d0-4c9b-a0c1-0959a6e762e9,sub-P1-20240821-A1,tpqva3,303.5928134918213,A1
