asset_id,subject_id,condition,channel,dimensions,min_intensity,max_intensity,mean_intensity,std_intensity
95141d7a-82aa-4552-940a-1438a430a0d7,P1_20240627_A2,A2,DAPI,[19190 19190],2115,65535,4289.5401,3749.0651925769425
d22476ad-fa18-4aa0-84bf-13fd0113a52c,P1_20240627_A2,A2,FITC,[19190 19190],495,5238,1567.4216,573.3988825010387
5a8061d9-3757-4a86-8542-2ae90133fdcd,P1_20240627_A3,A3,FITC,[19190 19190],648,8345,2884.1942,1532.777881392591
e671bd0e-531d-4219-b38b-480d6179a7fc,P1_20240627_B1,B1,DAPI,[19190 19190],2205,13767,5396.3257,2176.648420167922
